isbn,user_id,score,created_at
4774123137,0b55dc43,4.3,2017-03-23 13:11:13
9784774167060,c4ecc4db,4.2,2017-05-02 01:07:48
9784774173238,1ca34a7a,4.6,2017-01-06 04:17:25
4774120243,33735c10,4.8,2017-03-05 12:01:15
9784774135021,c6266d31,3.7,2017-08-09 02:09:20
4774116076,71cda870,4.2,2017-11-30 03:01:03
9784774186498,d7916d86,5.0,2017-09-29 02:13:19
4774122327,e16404d3,4.2,2017-11-16 22:14:25
9784774131832,5f14f971,4.8,2017-03-11 07:07:33
9784774159454,ba2f2833,5.0,2017-02-15 10:59:32
9784774174693,adfa23cf,4.0,2017-12-29 03:07:31
4774112704,f1c3602e,4.6,2017-08-22 14:31:03
9784774140926,dee58a18,4.3,2017-12-03 20:10:58
4774123641,5fb7ac4d,3.8,2017-08-03 05:28:51
9784774174860,c96e85d8,4.4,2017-08-05 11:07:30
9784774164069,113edb55,4.9,2017-10-29 00:24:00
9784774150130,a7dc4513,4.1,2017-12-13 21:23:06
9784774175836,7283df8d,4.0,2017-07-22 04:38:42
9784774131467,1d109c51,3.8,2017-12-29 02:21:33
4774128740,ebabf9c0,4.9,2017-03-12 15:29:24
4774128597,eb133f02,4.7,2017-07-05 12:29:52
9784774143392,52bfb3b1,4.7,2017-06-10 12:23:08
4774121959,48dea870,3.6,2017-07-20 02:30:57
4774118338,414a6dd6,3.8,2017-02-28 13:31:44
4774123064,e35f73c7,4.5,2017-06-23 20:33:24
9784774173313,11be0d25,3.7,2017-10-26 00:54:08
9784774159485,50bf2251,4.4,2017-05-12 12:40:02
9784774162584,8e72509b,4.8,2017-08-13 08:44:58
9784774140308,40927194,3.8,2017-01-13 05:11:17
9784774185408,fe6cdb02,4.6,2017-09-10 00:39:32
9784774134475,5fb7ac4d,4.0,2017-10-12 00:43:13
9784774155227,917fccec,4.9,2017-04-22 06:57:10
4774124370,04212cf4,4.7,2017-03-07 20:57:30
9784774176413,42394656,4.5,2017-04-26 04:18:15
9784774149752,cf73cc30,4.2,2017-03-28 20:33:10
4774114421,02ee8fc0,4.9,2017-10-14 17:01:57
4774123676,13ffbf86,4.1,2017-12-28 19:07:02
9784774139609,27cc35f6,4.9,2017-10-14 16:10:20
9784774177731,fe6cdb02,4.1,2017-09-19 15:13:53
9784774139746,f2f548aa,4.5,2017-02-27 13:04:44
4774125261,fe6cdb02,4.4,2017-02-15 16:21:45
9784774186481,9b233924,4.4,2017-05-26 15:56:29
4774124435,7b15451b,4.6,2017-01-24 11:48:23
9784774166728,e558b7dd,4.1,2017-03-13 14:49:07
4774127809,42394656,4.9,2017-05-15 10:14:04
9784774185514,4e063191,4.3,2017-08-30 17:54:26
4774114146,2576dd4b,4.4,2017-12-06 11:38:18
9784774140377,b7a8ac79,4.5,2017-03-08 08:38:13
9784774149653,90d1cd77,4.8,2017-09-10 18:10:57
9784774174136,c6266d31,4.7,2017-02-18 12:30:58
9784774150123,839e0676,4.1,2017-01-09 03:16:09
4774113107,987bf979,4.8,2017-12-16 09:25:28
4774122181,19685403,4.6,2017-08-25 03:46:44
9784774143040,b5a5735a,4.2,2017-11-19 13:30:49
9784774151823,fd937f20,3.8,2017-12-01 00:33:29
9784774135373,30f8a570,5.0,2017-04-22 10:09:40
9784774187594,d50dcf7b,4.6,2017-07-06 08:26:56
4774130044,fc7858c8,4.4,2017-05-12 13:37:02
9784774143408,8a6d126f,3.9,2017-02-10 19:53:31
9784774188492,729f32b9,3.9,2017-07-18 20:44:05
9784774164007,fd937f20,4.5,2017-05-28 21:23:41
9784774138497,0fcbaa42,4.8,2017-04-27 06:28:29
9784774188812,ff521f56,4.9,2017-09-08 18:23:50
4774124524,d4363e6d,4.8,2017-04-17 10:49:16
4774119407,1ca34a7a,4.8,2017-10-07 19:29:08
9784774148250,8a6d126f,4.8,2017-09-27 01:38:48
9784774137087,b7fb6899,4.1,2017-05-17 00:55:45
4774113697,461045b0,3.6,2017-08-30 18:30:18
9784774147307,729f32b9,4.9,2017-02-18 08:23:03
9784774180854,b56779c6,3.9,2017-01-11 23:46:50
9784774133645,7283df8d,4.6,2017-08-29 04:54:03
9784774143200,5df261d9,4.5,2017-01-21 17:48:25
9784774185170,425bb8c1,4.4,2017-09-04 08:36:41
4774124141,8ced0839,3.8,2017-01-06 12:08:42
4774112674,e9c6d1f8,4.2,2017-07-27 16:10:13
9784774171807,cf480b46,3.6,2017-04-20 23:17:19
9784774137971,ed3f77db,4.7,2017-08-10 00:01:48
4774116459,71cda870,4.9,2017-07-19 04:17:21
9784774172804,b7672805,4.4,2017-07-26 05:58:48
9784774184913,fb4316ac,3.8,2017-07-19 22:00:27
9784774152332,02ee8fc0,4.7,2017-02-07 17:23:09
9784774130590,b5a5735a,4.0,2017-04-23 05:13:56
4774116696,aca2d43a,4.5,2017-01-22 07:42:35
9784774133775,235d2745,4.9,2017-02-26 17:52:01
4774123331,fd937f20,4.8,2017-12-19 16:47:03
9784774150802,8ced0839,3.8,2017-06-26 17:26:41
4774118117,4836b9f2,4.1,2017-09-29 14:13:21
9784774140933,447660a5,3.8,2017-07-18 23:35:09
9784774180847,5df261d9,4.5,2017-08-15 08:03:17
9784774145099,71cda870,4.6,2017-11-19 19:39:20
477412494X,90d1cd77,3.8,2017-08-30 01:44:47
9784774185767,1b7e51dc,3.9,2017-01-16 13:27:43
9784774178936,d50dcf7b,4.4,2017-11-26 18:49:51
4774120561,b9fc8a26,4.0,2017-01-16 14:49:17
9784774142777,c0c8c8b3,4.2,2017-11-22 16:34:03
9784774136141,9aeaadee,4.1,2017-02-18 10:58:51
9784774142593,fd937f20,4.5,2017-09-19 01:45:05
4774121134,fe6cdb02,4.1,2017-02-27 20:18:29
9784774167329,db2e3c28,4.7,2017-01-26 22:45:46
4774127205,fc7858c8,4.6,2017-04-27 13:28:31
9784774161518,5f14f971,4.9,2017-04-13 01:13:12
4774129518,7926e531,4.0,2017-09-15 19:42:07
9784774141213,33735c10,4.7,2017-01-31 03:11:11
9784774170817,d114144f,4.4,2017-05-20 11:02:08
9784774185088,41a724b4,4.1,2017-09-12 16:07:22
9784774135342,40927194,4.3,2017-07-25 21:56:36
4774119148,5fb7ac4d,4.5,2017-12-07 16:29:48
9784774184449,d114144f,4.9,2017-09-08 13:01:13
9784774164595,1fb47b7c,4.1,2017-05-23 09:32:10
9784774134727,817a688a,4.4,2017-01-26 19:15:57
9784774130491,1f392f24,4.1,2017-02-17 17:05:02
4774124796,0b55dc43,4.5,2017-06-14 10:49:00
4774119164,839e0676,3.6,2017-09-03 03:05:58
4774127345,4445d27a,4.0,2017-08-23 11:06:40
9784774159799,d4eaca1a,4.2,2017-02-14 21:21:50
4774128775,1dff2802,3.7,2017-12-31 01:25:06
9784774160450,19c7b593,4.8,2017-06-29 09:39:53
9784774183053,e558b7dd,4.0,2017-10-10 13:20:58
4774125415,d50dcf7b,3.8,2017-12-24 18:45:30
9784774135700,0b55dc43,3.8,2017-06-27 03:08:31
9784774166353,1f392f24,3.7,2017-11-02 05:31:55
9784774164298,a2547808,4.2,2017-05-31 08:52:49
9784774190167,734e889b,3.8,2017-01-12 10:51:15
9784774156293,9366fe87,4.5,2017-02-01 15:52:29
9784774133232,ebabf9c0,4.2,2017-11-19 05:28:39
4774116092,7f3adf76,4.9,2017-09-20 06:27:48
9784774155005,8f57c4a0,4.7,2017-03-29 05:50:59
9784774130576,a2f2ca31,3.9,2017-12-31 10:16:17
9784774172286,9701527b,3.6,2017-06-24 11:41:05
9784774159355,fc7858c8,3.7,2017-07-13 06:21:29
4774126527,839e0676,4.6,2017-07-20 00:26:40
9784774189215,78e995aa,4.4,2017-01-25 07:36:48
9784774132402,5ff2948e,4.5,2017-12-22 19:19:59
4774123927,3e1192b0,4.3,2017-08-14 11:29:05
9784774187792,e3e14e55,4.7,2017-01-23 16:26:15
9784774134512,5ecfc552,4.7,2017-07-04 02:21:53
9784774174846,db2e3c28,3.8,2017-09-13 14:50:34
477411314X,6e18b100,4.2,2017-05-13 18:04:56
9784774151052,b9fc8a26,4.1,2017-03-29 06:22:23
9784774143842,6e18b100,4.2,2017-08-05 23:03:43
4774127817,b7672805,4.9,2017-12-27 21:39:14
4774122343,2576dd4b,3.8,2017-11-16 14:50:26
9784774190556,196ad68f,4.4,2017-04-09 07:13:32
9784774153650,f1c3602e,4.9,2017-07-05 06:04:50
9784774188102,113edb55,4.2,2017-11-27 21:39:04
9784774143262,4c41e685,3.8,2017-03-21 06:14:53
9784774183114,8e72509b,4.9,2017-04-28 16:15:59
9784774130699,0b03cc13,4.3,2017-03-29 03:32:20
4774119881,e35f73c7,4.7,2017-01-25 07:00:39
4774117722,df2c362b,3.8,2017-07-05 23:14:27
4774120758,425bb8c1,4.3,2017-07-09 18:54:20
9784774134239,82f207e8,4.1,2017-08-13 14:24:54
9784774165578,60a2e248,4.1,2017-03-10 02:02:08
477412754X,0b55dc43,4.0,2017-03-16 06:49:05
9784774161020,c0c8c8b3,4.2,2017-11-11 13:21:45
4774122394,ade6a136,4.6,2017-06-28 02:37:33
9784774132495,e35f73c7,3.8,2017-09-30 11:30:07
477411345X,c6266d31,3.8,2017-02-23 05:21:01
9784774156606,21b5ca11,4.1,2017-06-25 06:26:45
477412916X,12c8087b,4.2,2017-10-13 23:43:31
4774110396,9aeaadee,4.8,2017-12-18 12:49:07
9784774152912,425bb8c1,3.8,2017-07-14 16:53:58
9784774178714,817a688a,4.5,2017-12-21 01:25:24
9784774185279,8e72509b,4.0,2017-02-27 08:43:28
9784774145044,d7a1d042,4.3,2017-01-11 08:25:15
9784774189604,b9eda6c6,4.5,2017-07-18 05:28:46
9784774146034,93111604,4.7,2017-06-15 18:31:57
9784774150031,a2547808,3.8,2017-04-11 04:00:15
4774117900,13ffbf86,3.7,2017-04-11 14:46:42
9784774184357,82f207e8,4.1,2017-02-17 18:14:37
4774112321,52bfb3b1,5.0,2017-02-03 16:37:35
9784774131047,27cc35f6,4.8,2017-01-20 10:05:00
9784774150338,f4b7b39d,4.5,2017-07-30 04:42:06
4774125342,1a1ad1e4,4.4,2017-02-10 16:13:06
9784774155371,48dea870,4.3,2017-12-09 14:22:47
9784774189918,e80a674e,4.6,2017-12-09 09:01:24
9784774163840,50d56a4d,4.4,2017-12-03 15:36:17
9784774135311,9e721dd8,4.3,2017-10-19 00:11:14
9784774167084,bb9ef960,3.8,2017-09-08 08:13:54
9784774138640,04637bef,3.6,2017-12-15 21:58:01
9784774156101,4445d27a,4.6,2017-03-02 22:15:53
4774117471,c0c8c8b3,4.8,2017-09-07 07:59:52
9784774134741,34bd3620,3.9,2017-02-14 13:34:38
9784774135427,5fb7ac4d,3.8,2017-09-19 12:03:01
9784774143286,fe6cdb02,3.7,2017-10-26 11:18:37
9784774137247,9e721dd8,3.7,2017-06-23 03:56:43
4774122270,fe6cdb02,4.0,2017-03-15 15:03:40
9784774153261,077ac3d7,4.3,2017-02-04 01:14:31
4774113549,c4ecc4db,4.6,2017-10-12 06:13:36
9784774151878,b7a8ac79,5.0,2017-01-02 10:42:28
9784774154633,a2547808,3.9,2017-05-01 22:14:53
4774114073,42394656,4.8,2017-10-24 22:07:22
9784774141831,fc7858c8,3.9,2017-05-31 13:20:19
9784774153797,b848207d,4.7,2017-10-21 00:02:08
9784774159393,4445d27a,4.3,2017-11-30 17:16:50
9784774156507,70691ab5,4.4,2017-01-03 15:39:37
4774129860,d750a046,4.8,2017-07-05 20:24:20
477412155X,839e0676,3.8,2017-10-08 03:17:26
9784774161365,978eb01d,4.2,2017-03-08 17:36:23
9784774172705,c6266d31,4.0,2017-05-16 19:30:39
9784774166445,a7a1f51f,3.7,2017-02-16 18:08:24
9784774188935,d114144f,4.0,2017-04-13 17:20:42
4774121681,1ca34a7a,3.8,2017-06-10 01:49:09
4774106992,fd937f20,3.9,2017-09-03 09:13:12
